Tree name; Crown Height; Crown Diameter, Position X, Position Y, Leave Days
 Ulmus glabra ; 18.000000 ; 7.000000 ; 2502125.130000 ; 1117480.680000 ; 183 
 Tilia cordata ; 21.000000 ; 7.000000 ; 2502123.160000 ; 1117479.160000 ; 183 
 Acer campestre ; 14.000000 ; 5.000000 ; 2502099.980000 ; 1117455.620000 ; 183 
 Carpinus betulus ; 10.000000 ; 7.000000 ; 2502061.500000 ; 1117441.760000 ; 183 
 Cedrus atlantica 'Glauca' ; 21.000000 ; 15.000000 ; 2502025.390000 ; 1117467.780000 ; 365 
 Tilia ; 17.000000 ; 9.000000 ; 2499393.180000 ; 1117283.600000 ; 183 
 Prunus ; 6.000000 ; 5.000000 ; 2499428.000000 ; 1117306.720000 ; 183 
 Populus alba ; 27.000000 ; 14.000000 ; 2499701.350000 ; 1117859.620000 ; 183 
 Populus alba ; 27.000000 ; 10.000000 ; 2499682.560000 ; 1117860.020000 ; 183 
 Acer platanoides ; 16.000000 ; 7.000000 ; 2499441.620000 ; 1117271.460000 ; 183 
 Acer platanoides ; 14.000000 ; 8.000000 ; 2499426.420000 ; 1117287.820000 ; 183 
 Tilia cordata ; 21.000000 ; 9.000000 ; 2502104.100000 ; 1117458.120000 ; 183 
 Sorbus torminalis ; 4.000000 ; 2.000000 ; 2502045.570000 ; 1115467.960000 ; 183 
 Sophora japonica ; 5.000000 ; 2.000000 ; 2501979.360000 ; 1115645.640000 ; 183 
 Quercus cerris ; 6.000000 ; 1.000000 ; 2499785.860000 ; 1119459.360000 ; 183 
 Parrotia persica ; 3.000000 ; 1.000000 ; 2502082.110000 ; 1117844.340000 ; 183 
 Prunus cerasifera ; 8.000000 ; 10.000000 ; 2499426.560000 ; 1117315.700000 ; 183 
 Pinus sylvestris ; 12.000000 ; 5.000000 ; 2499395.060000 ; 1117296.670000 ; 365 
 Ulmus glabra ; 18.000000 ; 7.000000 ; 2502126.110000 ; 1117480.440000 ; 183 
 Cydonia oblonga ; 2.000000 ; 1.000000 ; 2499140.960000 ; 1117802.260000 ; 183 
 Tilia ; 22.000000 ; 10.000000 ; 2502101.210000 ; 1117450.280000 ; 183 
 Carpinus betulus ; 16.000000 ; 7.000000 ; 2502099.580000 ; 1117447.930000 ; 183 
 Sophora japonica ; 5.000000 ; 2.000000 ; 2500116.530000 ; 1117390.460000 ; 183 
 Carpinus betulus ; 20.000000 ; 15.000000 ; 2501515.870000 ; 1116097.990000 ; 183 
 Cedrus atlantica 'Glauca' ; 35.000000 ; 23.000000 ; 2501490.320000 ; 1116070.330000 ; 365 
 Pinus nigra var. austriaca ; 11.000000 ; 4.000000 ; 2501538.360000 ; 1116140.240000 ; 365 
 Pinus nigra var. austriaca ; 20.000000 ; 4.000000 ; 2501465.530000 ; 1116078.220000 ; 365 
 Carpinus betulus ; 11.000000 ; 10.000000 ; 2501477.130000 ; 1116063.770000 ; 183 
 Carpinus betulus ; 10.000000 ; 12.000000 ; 2501495.410000 ; 1116048.940000 ; 183 
 Gleditsia triacanthos ; 13.000000 ; 8.000000 ; 2499900.960000 ; 1116337.190000 ; 183 
 Pinus sylvestris ; 18.000000 ; 6.000000 ; 2501521.870000 ; 1116047.590000 ; 365 
 Carpinus betulus ; 17.000000 ; 8.000000 ; 2501504.170000 ; 1116034.840000 ; 183 
 Aesculus hippocastanum ; 20.000000 ; 10.000000 ; 2500274.190000 ; 1116904.300000 ; 183 
 Aesculus hippocastanum ; 12.000000 ; 5.000000 ; 2500272.950000 ; 1116893.540000 ; 183 
 Acer platanoides ; 11.000000 ; 8.000000 ; 2500370.720000 ; 1116827.600000 ; 183 
 Acer pseudoplatanus var. pseudoplatanus ; 8.000000 ; 4.000000 ; 2499662.210000 ; 1117874.200000 ; 183 
 Acer platanoides ; 11.000000 ; 8.000000 ; 2500395.590000 ; 1116798.370000 ; 183 
